Model,BLEU,ROUGE,Time,Length
GPT2,0.004060731264821101,0.04590987634038909,22.420302788416546,164.66666666666666
DistilGPT2,0.0,0.10851913673230289,9.589245319366455,52.666666666666664
T5-small,0.0,0.12949132192736199,0.4306507110595703,6.333333333333333
BART-small,0.0,0.026893939393939397,21.454673369725544,76.0
