Model,BLEU,ROUGE,Time,Length,Topsis Score,Rank
GPT2,0.0040607312648211,0.045909876340389,22.420302788416542,164.66666666666666,0.46097386724856165,2
DistilGPT2,0.0,0.1085191367323028,9.589245319366457,52.66666666666666,0.44129369828600257,3
T5-small,0.0,0.1294913219273619,0.4306507110595703,6.333333333333333,0.550172204400436,1
BART-small,0.0,0.0268939393939393,21.454673369725544,76.0,0.2548298940052325,4
